BARCODE,STOCK_CODE,COLOUR_CODE,SIZE_CODE,STOCK_DESCRIPTION,LABEL_NAME,CATEGORY_NAME,PRODUCT_TYPE,Attribute,SEASON_NAME,COLOUR_DESCRIPTION,RETAIL_PRICE,SOH
9333331509074,TRAVELACTIV,BLK,6,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,2
9333331509098,TRAVELACTIV,BLK,7,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,1
9333331509081,TRAVELACTIV,BLK,6Ω,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,0
9333331509104,TRAVELACTIV,BLK,7Ω,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,1
9333331509111,TRAVELACTIV,BLK,8,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,0
9333331509135,TRAVELACTIV,BLK,9,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,0
9333331509159,TRAVELACTIV,BLK,10,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,0
9333331509166,TRAVELACTIV,BLK,11,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,1
9333331509128,TRAVELACTIV,BLK,8Ω,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,0
9333331509142,TRAVELACTIV,BLK,9Ω,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,BLACK,119.95,2
9333331509173,TRAVELACTIV,SILV,6,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,2
9333331509197,TRAVELACTIV,SILV,7,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,2
9333331509210,TRAVELACTIV,SILV,8,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,0
9333331509234,TRAVELACTIV,SILV,9,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,0
9333331509258,TRAVELACTIV,SILV,10,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,0
9333331509265,TRAVELACTIV,SILV,11,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,1
9333331509180,TRAVELACTIV,SILV,6Ω,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,0
9333331509203,TRAVELACTIV,SILV,7Ω,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,0
9333331509227,TRAVELACTIV,SILV,8Ω,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,0
9333331509241,TRAVELACTIV,SILV,9Ω,TRAVELACTIV W5102 A/C,ACTIVE CASUAL,WOMENS,ACTIVE,,STANDARD,SILVER,119.95,0
